Date,Home,Away,Time
Monday 26 August 2024,Cleveland Guardians,Kansas City Royals,18:40
Monday 26 August 2024,Philadelphia Phillies,Houston Astros,18:40
Monday 26 August 2024,Pittsburgh Pirates,Chicago Cubs,18:40
Monday 26 August 2024,Washington Nationals,New York Yankees,18:45
Monday 26 August 2024,Boston Red Sox,Toronto Blue Jays,19:10
Monday 26 August 2024,Minnesota Twins,Atlanta Braves,19:40
Monday 26 August 2024,St. Louis Cardinals,San Diego Padres,19:45
Monday 26 August 2024,Chicago White Sox,Detroit Tigers,20:10
Monday 26 August 2024,Colorado Rockies,Miami Marlins,20:40
Monday 26 August 2024,Seattle Mariners,Tampa Bay Rays,21:40
Tuesday 27 August 2024,Cincinnati Reds,Oakland Athletics,18:40
Tuesday 27 August 2024,Cleveland Guardians,Kansas City Royals,18:40
Tuesday 27 August 2024,Detroit Tigers,Los Angeles Angels,18:40
Tuesday 27 August 2024,Philadelphia Phillies,Houston Astros,18:40
Tuesday 27 August 2024,Pittsburgh Pirates,Chicago Cubs,18:40
Tuesday 27 August 2024,Washington Nationals,New York Yankees,18:45
Tuesday 27 August 2024,Boston Red Sox,Toronto Blue Jays,19:10
Tuesday 27 August 2024,Minnesota Twins,Atlanta Braves,19:40
Tuesday 27 August 2024,St. Louis Cardinals,San Diego Padres,19:45
Tuesday 27 August 2024,Chicago White Sox,Texas Rangers,20:10
Tuesday 27 August 2024,Milwaukee Brewers,San Francisco Giants,20:10
Tuesday 27 August 2024,Colorado Rockies,Miami Marlins,20:40
Tuesday 27 August 2024,Arizona D'Backs,New York Mets,21:40
Tuesday 27 August 2024,Seattle Mariners,Tampa Bay Rays,21:40
Tuesday 27 August 2024,Los Angeles Dodgers,Baltimore Orioles,22:10
Wednesday 28 August 2024,Pittsburgh Pirates,Chicago Cubs,12:35
Wednesday 28 August 2024,Cleveland Guardians,Kansas City Royals,13:10
Wednesday 28 August 2024,Philadelphia Phillies,Houston Astros,16:05
Wednesday 28 August 2024,Seattle Mariners,Tampa Bay Rays,16:10
Wednesday 28 August 2024,Cincinnati Reds,Oakland Athletics,18:40
Wednesday 28 August 2024,Detroit Tigers,Los Angeles Angels,18:40
Wednesday 28 August 2024,Washington Nationals,New York Yankees,18:45
Wednesday 28 August 2024,Boston Red Sox,Toronto Blue Jays,19:10
Wednesday 28 August 2024,Minnesota Twins,Atlanta Braves,19:40
Wednesday 28 August 2024,St. Louis Cardinals,San Diego Padres,19:45
Wednesday 28 August 2024,Chicago White Sox,Texas Rangers,20:10
Wednesday 28 August 2024,Milwaukee Brewers,San Francisco Giants,20:10
Wednesday 28 August 2024,Colorado Rockies,Miami Marlins,20:40
Wednesday 28 August 2024,Arizona D'Backs,New York Mets,21:40
Wednesday 28 August 2024,Los Angeles Dodgers,Baltimore Orioles,22:10
Thursday 29 August 2024,Detroit Tigers,Los Angeles Angels,13:10
Thursday 29 August 2024,Chicago White Sox,Texas Rangers,14:10
Thursday 29 August 2024,Milwaukee Brewers,San Francisco Giants,14:10
Thursday 29 August 2024,St. Louis Cardinals,San Diego Padres,14:15
Thursday 29 August 2024,Colorado Rockies,Miami Marlins,15:10
Thursday 29 August 2024,Arizona D'Backs,New York Mets,15:40
Thursday 29 August 2024,Cincinnati Reds,Oakland Athletics,17:10
Thursday 29 August 2024,Philadelphia Phillies,Atlanta Braves,18:40
Thursday 29 August 2024,Boston Red Sox,Toronto Blue Jays,19:10
Thursday 29 August 2024,Houston Astros,Kansas City Royals,20:10
Thursday 29 August 2024,Los Angeles Dodgers,Baltimore Orioles,22:10
Friday 30 August 2024,Cincinnati Reds,Milwaukee Brewers,12:40
Friday 30 August 2024,Cincinnati Reds,Milwaukee Brewers,18:40
Friday 30 August 2024,Detroit Tigers,Boston Red Sox,18:40
Friday 30 August 2024,Philadelphia Phillies,Atlanta Braves,18:40
Friday 30 August 2024,Washington Nationals,Chicago Cubs,18:45
Friday 30 August 2024,Tampa Bay Rays,San Diego Padres,18:50
Friday 30 August 2024,New York Yankees,St. Louis Cardinals,19:05
Friday 30 August 2024,Cleveland Guardians,Pittsburgh Pirates,19:10
Friday 30 August 2024,Texas Rangers,Oakland Athletics,20:05
Friday 30 August 2024,Chicago White Sox,New York Mets,20:10
Friday 30 August 2024,Houston Astros,Kansas City Royals,20:10
Friday 30 August 2024,Minnesota Twins,Toronto Blue Jays,20:10
Friday 30 August 2024,Colorado Rockies,Baltimore Orioles,20:40
Friday 30 August 2024,Los Angeles Angels,Seattle Mariners,21:38
Friday 30 August 2024,Arizona D'Backs,Los Angeles Dodgers,21:40
Friday 30 August 2024,San Francisco Giants,Miami Marlins,22:15
Saturday 31 August 2024,New York Yankees,St. Louis Cardinals,13:05
Saturday 31 August 2024,Washington Nationals,Chicago Cubs,16:05
Saturday 31 August 2024,Tampa Bay Rays,San Diego Padres,16:10
Saturday 31 August 2024,Cleveland Guardians,Pittsburgh Pirates,18:10
Saturday 31 August 2024,Detroit Tigers,Boston Red Sox,18:10
Saturday 31 August 2024,Texas Rangers,Oakland Athletics,19:05
Saturday 31 August 2024,Chicago White Sox,New York Mets,19:10
Saturday 31 August 2024,Houston Astros,Kansas City Royals,19:10
Saturday 31 August 2024,Minnesota Twins,Toronto Blue Jays,19:10
Saturday 31 August 2024,Cincinnati Reds,Milwaukee Brewers,19:15
Saturday 31 August 2024,Philadelphia Phillies,Atlanta Braves,19:15
Saturday 31 August 2024,Arizona D'Backs,Los Angeles Dodgers,20:10
Saturday 31 August 2024,Colorado Rockies,Baltimore Orioles,20:10
Saturday 31 August 2024,San Francisco Giants,Miami Marlins,21:05
Saturday 31 August 2024,Los Angeles Angels,Seattle Mariners,21:38
Sunday 01 September 2024,Cincinnati Reds,Milwaukee Brewers,12:10
Sunday 01 September 2024,New York Yankees,St. Louis Cardinals,13:35
Sunday 01 September 2024,Washington Nationals,Chicago Cubs,13:35
Sunday 01 September 2024,Cleveland Guardians,Pittsburgh Pirates,13:40
Sunday 01 September 2024,Detroit Tigers,Boston Red Sox,13:40
Sunday 01 September 2024,Tampa Bay Rays,San Diego Padres,13:40
Sunday 01 September 2024,Chicago White Sox,New York Mets,14:10
Sunday 01 September 2024,Houston Astros,Kansas City Royals,14:10
Sunday 01 September 2024,Minnesota Twins,Toronto Blue Jays,14:10
Sunday 01 September 2024,Texas Rangers,Oakland Athletics,14:35
Sunday 01 September 2024,Colorado Rockies,Baltimore Orioles,15:10
Sunday 01 September 2024,San Francisco Giants,Miami Marlins,16:05
Sunday 01 September 2024,Los Angeles Angels,Seattle Mariners,16:07
Sunday 01 September 2024,Arizona D'Backs,Los Angeles Dodgers,16:10
Sunday 01 September 2024,Philadelphia Phillies,Atlanta Braves,19:10
Monday 02 September 2024,Milwaukee Brewers,St. Louis Cardinals,14:10
Monday 02 September 2024,Baltimore Orioles,Chicago White Sox,15:05
Monday 02 September 2024,Arizona D'Backs,Los Angeles Dodgers,16:10
Monday 02 September 2024,Cincinnati Reds,Houston Astros,16:10
Monday 02 September 2024,Kansas City Royals,Cleveland Guardians,16:10
Monday 02 September 2024,San Diego Padres,Detroit Tigers,18:40
Monday 02 September 2024,Tampa Bay Rays,Minnesota Twins,18:50
Monday 02 September 2024,Oakland Athletics,Seattle Mariners,19:07
Monday 02 September 2024,New York Mets,Boston Red Sox,19:10
Monday 02 September 2024,Chicago Cubs,Pittsburgh Pirates,19:40
Monday 02 September 2024,Texas Rangers,New York Yankees,20:05
Tuesday 03 September 2024,Baltimore Orioles,Chicago White Sox,18:35
Tuesday 03 September 2024,Miami Marlins,Washington Nationals,18:40
Tuesday 03 September 2024,Tampa Bay Rays,Minnesota Twins,18:50
Tuesday 03 September 2024,Toronto Blue Jays,Philadelphia Phillies,19:07
Tuesday 03 September 2024,New York Mets,Boston Red Sox,19:10
Tuesday 03 September 2024,Atlanta Braves,Colorado Rockies,19:20
Tuesday 03 September 2024,Chicago Cubs,Pittsburgh Pirates,19:40
Tuesday 03 September 2024,Kansas City Royals,Cleveland Guardians,19:40
Tuesday 03 September 2024,Milwaukee Brewers,St. Louis Cardinals,19:40
Tuesday 03 September 2024,Texas Rangers,New York Yankees,20:05
Tuesday 03 September 2024,Los Angeles Angels,Los Angeles Dodgers,21:38
Tuesday 03 September 2024,Oakland Athletics,Seattle Mariners,21:40
Tuesday 03 September 2024,San Francisco Giants,Arizona D'Backs,21:45
Wednesday 04 September 2024,Toronto Blue Jays,Philadelphia Phillies,15:07
Wednesday 04 September 2024,Baltimore Orioles,Chicago White Sox,18:35
Wednesday 04 September 2024,Cincinnati Reds,Houston Astros,18:40
Wednesday 04 September 2024,Miami Marlins,Washington Nationals,18:40
Wednesday 04 September 2024,Tampa Bay Rays,Minnesota Twins,18:50
Wednesday 04 September 2024,New York Mets,Boston Red Sox,19:10
Wednesday 04 September 2024,Atlanta Braves,Colorado Rockies,19:20
Wednesday 04 September 2024,Chicago Cubs,Pittsburgh Pirates,19:40
Wednesday 04 September 2024,Kansas City Royals,Cleveland Guardians,19:40
Wednesday 04 September 2024,Milwaukee Brewers,St. Louis Cardinals,19:40
Wednesday 04 September 2024,Texas Rangers,New York Yankees,20:05
Wednesday 04 September 2024,Los Angeles Angels,Los Angeles Dodgers,21:38
Wednesday 04 September 2024,Oakland Athletics,Seattle Mariners,21:40
Wednesday 04 September 2024,San Diego Padres,Detroit Tigers,21:40
Wednesday 04 September 2024,San Francisco Giants,Arizona D'Backs,21:45
Thursday 05 September 2024,Cincinnati Reds,Houston Astros,13:10
Thursday 05 September 2024,Tampa Bay Rays,Minnesota Twins,13:10
Thursday 05 September 2024,Oakland Athletics,Seattle Mariners,15:37
Thursday 05 September 2024,San Francisco Giants,Arizona D'Backs,15:45
Thursday 05 September 2024,Miami Marlins,Philadelphia Phillies,18:40
Thursday 05 September 2024,Pittsburgh Pirates,Washington Nationals,18:40
Thursday 05 September 2024,Atlanta Braves,Colorado Rockies,19:20
Thursday 05 September 2024,Texas Rangers,Los Angeles Angels,20:05
Thursday 05 September 2024,San Diego Padres,Detroit Tigers,20:40
Friday 06 September 2024,Chicago Cubs,New York Yankees,14:20
Friday 06 September 2024,Cincinnati Reds,Colorado Rockies,18:10
Friday 06 September 2024,Pittsburgh Pirates,Washington Nationals,18:40
Friday 06 September 2024,Baltimore Orioles,Tampa Bay Rays,19:05
Friday 06 September 2024,Boston Red Sox,Chicago White Sox,19:10
Friday 06 September 2024,Miami Marlins,Philadelphia Phillies,19:10
Friday 06 September 2024,New York Mets,Cincinnati Reds,19:10
Friday 06 September 2024,Atlanta Braves,Toronto Blue Jays,19:20
Friday 06 September 2024,Texas Rangers,Los Angeles Angels,20:05
Friday 06 September 2024,Houston Astros,Arizona D'Backs,20:10
Friday 06 September 2024,Kansas City Royals,Minnesota Twins,20:10
Friday 06 September 2024,St. Louis Cardinals,Seattle Mariners,20:15
Friday 06 September 2024,Oakland Athletics,Detroit Tigers,21:40
Friday 06 September 2024,San Diego Padres,San Francisco Giants,21:40
Friday 06 September 2024,Los Angeles Dodgers,Cleveland Guardians,22:10
Saturday 07 September 2024,Chicago Cubs,New York Yankees,14:20
Saturday 07 September 2024,Baltimore Orioles,Tampa Bay Rays,16:05
Saturday 07 September 2024,Oakland Athletics,Detroit Tigers,16:07
Saturday 07 September 2024,Houston Astros,Arizona D'Backs,16:10
Saturday 07 September 2024,Miami Marlins,Philadelphia Phillies,16:10
Saturday 07 September 2024,New York Mets,Cincinnati Reds,16:10
Saturday 07 September 2024,Pittsburgh Pirates,Washington Nationals,18:40
Saturday 07 September 2024,Texas Rangers,Los Angeles Angels,19:05
Saturday 07 September 2024,Cincinnati Reds,Colorado Rockies,19:10
Sunday 08 September 2024,Baltimore Orioles,Tampa Bay Rays,12:05
Sunday 08 September 2024,Atlanta Braves,Toronto Blue Jays,13:35
Sunday 08 September 2024,Boston Red Sox,Chicago White Sox,13:35
Sunday 08 September 2024,Pittsburgh Pirates,Washington Nationals,13:35
Sunday 08 September 2024,Miami Marlins,Philadelphia Phillies,13:40
Sunday 08 September 2024,New York Mets,Cincinnati Reds,13:40
Sunday 08 September 2024,Houston Astros,Arizona D'Backs,14:10
Sunday 08 September 2024,Kansas City Royals,Minnesota Twins,14:10
Sunday 08 September 2024,Milwaukee Brewers,Colorado Rockies,14:10
Sunday 08 September 2024,St. Louis Cardinals,Seattle Mariners,14:15
Sunday 08 September 2024,Chicago Cubs,New York Yankees,14:20
Sunday 08 September 2024,Texas Rangers,Los Angeles Angels,14:35
Sunday 08 September 2024,Oakland Athletics,Detroit Tigers,16:07
Sunday 08 September 2024,Los Angeles Dodgers,Cleveland Guardians,16:10
Sunday 08 September 2024,San Diego Padres,San Francisco Giants,16:10
Monday 09 September 2024,Atlanta Braves,Cincinnati Reds,18:40
Monday 09 September 2024,Philadelphia Phillies,Tampa Bay Rays,18:40
Monday 09 September 2024,Pittsburgh Pirates,Miami Marlins,18:40
Monday 09 September 2024,New York Yankees,Kansas City Royals,19:05
Monday 09 September 2024,Toronto Blue Jays,New York Mets,19:07
Monday 09 September 2024,Boston Red Sox,Baltimore Orioles,19:10
Monday 09 September 2024,Chicago White Sox,Cleveland Guardians,19:40
Monday 09 September 2024,Minnesota Twins,Los Angeles Angels,19:40
Monday 09 September 2024,Los Angeles Dodgers,Chicago Cubs,22:10
Tuesday 10 September 2024,Detroit Tigers,Colorado Rockies,18:40
Tuesday 10 September 2024,Philadelphia Phillies,Tampa Bay Rays,18:40
Tuesday 10 September 2024,Pittsburgh Pirates,Miami Marlins,18:40
Tuesday 10 September 2024,Washington Nationals,Atlanta Braves,18:45
Tuesday 10 September 2024,New York Yankees,Kansas City Royals,19:05
Tuesday 10 September 2024,Toronto Blue Jays,New York Mets,19:07
Tuesday 10 September 2024,Boston Red Sox,Baltimore Orioles,19:10
Tuesday 10 September 2024,Chicago White Sox,Cleveland Guardians,19:40
Tuesday 10 September 2024,Minnesota Twins,Los Angeles Angels,19:40
Tuesday 10 September 2024,St. Louis Cardinals,Cincinnati Reds,19:45
Tuesday 10 September 2024,Houston Astros,Oakland Athletics,20:10
Tuesday 10 September 2024,Arizona D'Backs,Texas Rangers,21:40
Tuesday 10 September 2024,Seattle Mariners,San Diego Padres,21:40
Tuesday 10 September 2024,San Francisco Giants,Milwaukee Brewers,21:45
Tuesday 10 September 2024,Los Angeles Dodgers,Chicago Cubs,22:10
Wednesday 11 September 2024,Pittsburgh Pirates,Miami Marlins,12:35
Wednesday 11 September 2024,Chicago White Sox,Cleveland Guardians,14:10
Wednesday 11 September 2024,Toronto Blue Jays,New York Mets,15:07
Wednesday 11 September 2024,Arizona D'Backs,Texas Rangers,15:40
Wednesday 11 September 2024,Detroit Tigers,Colorado Rockies,18:40
Wednesday 11 September 2024,Philadelphia Phillies,Tampa Bay Rays,18:40
Wednesday 11 September 2024,Washington Nationals,Atlanta Braves,18:45
Wednesday 11 September 2024,New York Yankees,Kansas City Royals,19:05
Wednesday 11 September 2024,Boston Red Sox,Baltimore Orioles,19:10
Wednesday 11 September 2024,Minnesota Twins,Los Angeles Angels,19:10
Wednesday 11 September 2024,St. Louis Cardinals,Cincinnati Reds,19:45
Wednesday 11 September 2024,Houston Astros,Oakland Athletics,20:10
Wednesday 11 September 2024,Seattle Mariners,San Diego Padres,21:40
Wednesday 11 September 2024,San Francisco Giants,Milwaukee Brewers,21:45
Wednesday 11 September 2024,Los Angeles Dodgers,Chicago Cubs,22:10
Thursday 12 September 2024,Detroit Tigers,Colorado Rockies,13:10
Thursday 12 September 2024,St. Louis Cardinals,Cincinnati Reds,13:15
Thursday 12 September 2024,Houston Astros,Oakland Athletics,14:10
Thursday 12 September 2024,Washington Nationals,Miami Marlins,18:45
Thursday 12 September 2024,Cleveland Guardians,Tampa Bay Rays,19:15
Thursday 12 September 2024,New York Yankees,Boston Red Sox,19:15
Thursday 12 September 2024,Seattle Mariners,Texas Rangers,21:40
Thursday 12 September 2024,San Francisco Giants,Milwaukee Brewers,21:45
Friday 13 September 2024,Detroit Tigers,Baltimore Orioles,18:40
Friday 13 September 2024,Philadelphia Phillies,New York Mets,18:40
Friday 13 September 2024,Pittsburgh Pirates,Kansas City Royals,18:40
Friday 13 September 2024,Washington Nationals,Miami Marlins,18:45
Friday 13 September 2024,New York Yankees,Boston Red Sox,19:05
Friday 13 September 2024,Toronto Blue Jays,St. Louis Cardinals,19:07
Friday 13 September 2024,Cleveland Guardians,Tampa Bay Rays,19:10
Friday 13 September 2024,Atlanta Braves,Los Angeles Dodgers,19:20
Friday 13 September 2024,Chicago White Sox,Oakland Athletics,19:40
Friday 13 September 2024,Minnesota Twins,Cincinnati Reds,20:10
Friday 13 September 2024,Colorado Rockies,Chicago Cubs,20:40
Friday 13 September 2024,Los Angeles Angels,Houston Astros,21:38
Friday 13 September 2024,Arizona D'Backs,Milwaukee Brewers,21:40
Friday 13 September 2024,Seattle Mariners,Texas Rangers,22:10
Friday 13 September 2024,San Francisco Giants,San Diego Padres,22:15
Saturday 14 September 2024,New York Yankees,Boston Red Sox,13:05
Saturday 14 September 2024,Pittsburgh Pirates,Kansas City Royals,13:05
Saturday 14 September 2024,Toronto Blue Jays,St. Louis Cardinals,15:07
Saturday 14 September 2024,Philadelphia Phillies,New York Mets,16:05
Saturday 14 September 2024,Washington Nationals,Miami Marlins,16:05
Saturday 14 September 2024,Cleveland Guardians,Tampa Bay Rays,18:10
Saturday 14 September 2024,Detroit Tigers,Baltimore Orioles,18:10
Saturday 14 September 2024,Chicago White Sox,Oakland Athletics,19:10
Saturday 14 September 2024,Minnesota Twins,Cincinnati Reds,19:10
Saturday 14 September 2024,Atlanta Braves,Los Angeles Dodgers,19:20
Saturday 14 September 2024,Arizona D'Backs,Milwaukee Brewers,20:10
