Date,Home,Away,Time,TV
09 Feb 2025,Dreamland Gran Canaria,real Madrid,13:00,N/A
09 Feb 2025,Girona Basketball,MoraBanc Andorra,17:00,N/A
09 Feb 2025,Baskonia,Casademont Zaragoza,17:00,N/A
09 Feb 2025,Valencia Basket,Coviran Granada,18:30,N/A
01 Mar 2025,Casademont Zaragoza,Valencia Basket,18:00,N/A
01 Mar 2025,Leyma Coruña,Lleida Hypopos,18:00,N/A
01 Mar 2025,Coviran Granada,UCAM Murcia,20:45,N/A
01 Mar 2025,The Laguna Tenerife,Surne Bilbao Basket,20:45,N/A
02 Mar 2025,Joventut Badalona,Unicaja,12:30,N/A
02 Mar 2025,Girona Basketball,BAXI Manresa,12:30,N/A
02 Mar 2025,Barça,Breogan River,17:00,N/A
02 Mar 2025,MoraBanc Andorra,Dreamland Gran Canaria,17:00,N/A
02 Mar 2025,real Madrid,Baskonia,18:30,N/A
08 Mar 2025,Valencia Basket,Surne Bilbao Basket,18:00,N/A
08 Mar 2025,Unicaja,UCAM Murcia,18:00,N/A
08 Mar 2025,Coviran Granada,Breogan River,20:45,N/A
08 Mar 2025,Girona Basketball,MoraBanc Andorra,20:45,N/A
09 Mar 2025,real Madrid,Joventut Badalona,12:30,N/A
09 Mar 2025,BAXI Manresa,The Laguna Tenerife,12:30,N/A
09 Mar 2025,Baskonia,Leyma Coruña,17:00,N/A
09 Mar 2025,Lleida Hypopos,Dreamland Gran Canaria,17:00,N/A
09 Mar 2025,Barça,Casademont Zaragoza,18:30,N/A
15 Mar 2025,UCAM Murcia,Girona Basketball,18:00,N/A
15 Mar 2025,Joventut Badalona,Valencia Basket,18:00,N/A
15 Mar 2025,Casademont Zaragoza,Dreamland Gran Canaria,20:45,N/A
15 Mar 2025,Unicaja,BAXI Manresa,20:45,N/A
16 Mar 2025,Coviran Granada,Surne Bilbao Basket,12:30,N/A
16 Mar 2025,Leyma Coruña,Lleida Hypopos,12:30,N/A
16 Mar 2025,MoraBanc Andorra,Breogan River,17:00,N/A
16 Mar 2025,Surne Bilbao Basket,Barça,17:00,N/A
16 Mar 2025,real Madrid,The Laguna Tenerife,18:30,N/A
22 Mar 2025,Girona Basketball,Dreamland Gran Canaria,18:00,N/A
22 Mar 2025,Valencia Basket,Leyma Coruña,18:00,N/A
22 Mar 2025,Baskonia,BAXI Manresa,20:45,N/A
22 Mar 2025,Breogan River,Joventut Badalona,20:45,N/A
23 Mar 2025,Lleida Hypopos,UCAM Murcia,12:30,N/A
23 Mar 2025,The Laguna Tenerife,Valencia Basket,13:00,N/A
23 Mar 2025,Barça,MoraBanc Andorra,17:00,N/A
23 Mar 2025,Surne Bilbao Basket,Casademont Zaragoza,17:00,N/A
23 Mar 2025,Unicaja,Coviran Granada,18:30,N/A
29 Mar 2025,UCAM Murcia,MoraBanc Andorra,18:00,N/A
29 Mar 2025,BAXI Manresa,Lleida Hypopos,18:00,N/A
29 Mar 2025,Leyma Coruña,Girona Basketball,20:45,N/A
29 Mar 2025,Casademont Zaragoza,The Laguna Tenerife,20:45,N/A
30 Mar 2025,Coviran Granada,Valencia Basket,12:30,N/A
30 Mar 2025,Dreamland Gran Canaria,Unicaja,13:00,N/A
30 Mar 2025,real Madrid,Breogan River,17:00,N/A
30 Mar 2025,Surne Bilbao Basket,Joventut Badalona,17:00,N/A
30 Mar 2025,Barça,Baskonia,18:30,N/A
05 Apr 2025,MoraBanc Andorra,Joventut Badalona,18:00,N/A
05 Apr 2025,Lleida Hypopos,Surne Bilbao Basket,18:00,N/A
05 Apr 2025,Breogan River,Dreamland Gran Canaria,20:45,N/A
05 Apr 2025,Valencia Basket,Unicaja,20:45,N/A
06 Apr 2025,UCAM Murcia,BAXI Manresa,12:30,N/A
06 Apr 2025,The Laguna Tenerife,Casademont Zaragoza,13:00,N/A
06 Apr 2025,Coviran Granada,Leyma Coruña,17:00,N/A
06 Apr 2025,Baskonia,Girona Basketball,17:00,N/A
06 Apr 2025,real Madrid,Barça,18:30,N/A
12 Apr 2025,Girona Basketball,Breogan River,18:00,N/A
12 Apr 2025,Casademont Zaragoza,Leyma Coruña,18:00,N/A
12 Apr 2025,UCAM Murcia,Baskonia,20:45,N/A
12 Apr 2025,Dreamland Gran Canaria,Lleida Hypopos,20:45,N/A
13 Apr 2025,Joventut Badalona,BAXI Manresa,12:30,N/A
13 Apr 2025,The Laguna Tenerife,real Madrid,13:00,N/A
13 Apr 2025,Coviran Granada,Barça,17:00,N/A
13 Apr 2025,MoraBanc Andorra,Surne Bilbao Basket,17:00,N/A
13 Apr 2025,Valencia Basket,Unicaja,18:30,N/A
19 Apr 2025,BAXI Manresa,Girona Basketball,18:00,N/A
19 Apr 2025,Unicaja,Surne Bilbao Basket,18:00,N/A
19 Apr 2025,Leyma Coruña,Coviran Granada,20:45,N/A
19 Apr 2025,UCAM Murcia,Joventut Badalona,20:45,N/A
20 Apr 2025,real Madrid,MoraBanc Andorra,12:30,N/A
20 Apr 2025,Lleida Hypopos,Valencia Basket,12:30,N/A
20 Apr 2025,Baskonia,The Laguna Tenerife,17:00,N/A
20 Apr 2025,Breogan River,Casademont Zaragoza,17:00,N/A
20 Apr 2025,Barça,Dreamland Gran Canaria,18:30,N/A
26 Apr 2025,Casademont Zaragoza,Dreamland Gran Canaria,17:00,N/A
26 Apr 2025,Coviran Granada,BAXI Manresa,17:00,N/A
26 Apr 2025,Breogan River,Joventut Badalona,19:30,N/A
26 Apr 2025,The Laguna Tenerife,Leyma Coruña,19:30,N/A
27 Apr 2025,Girona Basketball,real Madrid,12:30,N/A
27 Apr 2025,Valencia Basket,Baskonia,12:30,N/A
27 Apr 2025,MoraBanc Andorra,Unicaja,17:00,N/A
27 Apr 2025,Surne Bilbao Basket,Lleida Hypopos,17:00,N/A
27 Apr 2025,Barça,UCAM Murcia,18:30,N/A
03 May 2025,Joventut Badalona,Surne Bilbao Basket,18:00,N/A
03 May 2025,Baskonia,Casademont Zaragoza,18:00,N/A
03 May 2025,BAXI Manresa,Dreamland Gran Canaria,20:45,N/A
03 May 2025,Breogan River,Coviran Granada,20:45,N/A
04 May 2025,Girona Basketball,The Laguna Tenerife,12:30,N/A
04 May 2025,Unicaja,MoraBanc Andorra,12:30,N/A
04 May 2025,Lleida Hypopos,UCAM Murcia,17:00,N/A
04 May 2025,Leyma Coruña,Barça,17:00,N/A
04 May 2025,Valencia Basket,real Madrid,18:30,N/A
10 May 2025,Surne Bilbao Basket,Leyma Coruña,18:00,N/A
10 May 2025,MoraBanc Andorra,Valencia Basket,18:00,N/A
10 May 2025,Girona Basketball,Dreamland Gran Canaria,20:45,N/A
10 May 2025,Joventut Badalona,Baskonia,20:45,N/A
11 May 2025,Casademont Zaragoza,The Laguna Tenerife,12:30,N/A
11 May 2025,Coviran Granada,Unicaja,13:00,N/A
11 May 2025,Barça,Lleida Hypopos,17:00,N/A
11 May 2025,UCAM Murcia,Breogan River,17:00,N/A
11 May 2025,real Madrid,BAXI Manresa,18:30,N/A
17 May 2025,Leyma Coruña,MoraBanc Andorra,18:00,N/A
17 May 2025,Coviran Granada,Surne Bilbao Basket,18:00,N/A
17 May 2025,Breogan River,Dreamland Gran Canaria,20:45,N/A
17 May 2025,Girona Basketball,Joventut Badalona,20:45,N/A
18 May 2025,BAXI Manresa,Valencia Basket,12:30,N/A
18 May 2025,Unicaja,real Madrid,12:30,N/A
18 May 2025,Surne Bilbao Basket,UCAM Murcia,17:00,N/A
18 May 2025,Lleida Hypopos,Casademont Zaragoza,17:00,N/A
18 May 2025,Baskonia,Barça,18:30,N/A
24 May 2025,Joventut Badalona,Casademont Zaragoza,18:00,N/A
24 May 2025,MoraBanc Andorra,BAXI Manresa,18:00,N/A
24 May 2025,Baskonia,Surne Bilbao Basket,20:45,N/A
24 May 2025,UCAM Murcia,Leyma Coruña,20:45,N/A
25 May 2025,Lleida Hypopos,The Laguna Tenerife,12:30,N/A
25 May 2025,Unicaja,Valencia Basket,13:00,N/A
25 May 2025,Breogan River,Barça,17:00,N/A
25 May 2025,Dreamland Gran Canaria,Coviran Granada,17:00,N/A
25 May 2025,real Madrid,Girona Basketball,17:00,N/A
30 May 2025,Dreamland Gran Canaria,UCAM Murcia,20:30,N/A
30 May 2025,Girona Basketball,Lleida Hypopos,20:30,N/A
30 May 2025,Casademont Zaragoza,real Madrid,20:30,N/A
30 May 2025,Surne Bilbao Basket,Barça,20:30,N/A
30 May 2025,BAXI Manresa,The Laguna Tenerife,20:30,N/A
30 May 2025,Leyma Coruña,Baskonia,20:30,N/A
30 May 2025,Unicaja,Joventut Badalona,20:30,N/A
30 May 2025,Coviran Granada,MoraBanc Andorra,20:30,N/A
30 May 2025,Valencia Basket,Breogan River,20:30,N/A
